rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
163,1995,178,18,8.2,567.0,73.0,"In Las Vegas, two best friends - a casino executive and a mafia enforcer - compete for a gambling empire and a fast-living, fast-loving socialite.", Casino
164,2004,156,15,8.2,377.0,82.0,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.", Downfall
165,1992,130,15,8.2,438.0,85.0,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""", Unforgiven
166,2006,118,15,8.2,705.0,98.0,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.", Pan's Labyrinth
167,1939,238,PG,8.2,336.0,97.0,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods., Gone with the Wind
168,1989,127,PG,8.2,815.0,65.0,"In 1938, after his father goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against the Nazis again to stop them from obtaining its powers.", Indiana Jones and the Last Crusade
169,1959,121,A,8.2,285.0,98.0,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.", Some Like It Hot
170,2018,104,18,8.2,60.0,81.0,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born., Tumbbad
171,1975,91,12A,8.2,572.0,91.0,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.", Monty Python and the Holy Grail
172,2020,97,12A,8.2,195.0,88.0,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.", The Father
173,1963,172,PG,8.2,260.0,86.0,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II., The Great Escape
174,2009,129,18,8.2,223.0,80.0,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later., The Secret in Their Eyes
175,1980,124,PG,8.2,259.0,78.0,"A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication.", The Elephant Man
176,1985,160,15,8.2,137.0,97.0,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.", Ran
177,1965,132,15,8.2,276.0,74.0,"Two bounty hunters with the same intentions team up to track down a gang of outlaws led by a psychotic Mexican bandit, who is plotting an audacious bank robbery.", For a Few Dollars More
178,1954,105,PG,8.2,190.0,75.0,A former tennis star arranges the murder of his adulterous wife., Dial M for Murder
179,2020,117,15,8.2,74.0,72.0,"After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair.", Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
180,1950,138,PG,8.2,139.0,98.0,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends., All About Eve
181,1950,88,X,8.2,181.0,98.0,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.", Rashomon
182,2019,96,PG,8.2,191.0,65.0,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.", Klaus
183,2012,321,18,8.2,104.0,89.0,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.", Gangs of Wasseypur
184,1961,110,PG,8.2,132.0,93.0,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town., Yojimbo
185,2015,163,12A,8.2,95.0,81.0,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.", Drishyam
186,1997,89,PG,8.2,81.0,77.0,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.", Children of Heaven
187,2018,139,12A,8.2,103.0,81.0,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.", Andhadhun
188,2019,132,15,8.2,56.0,81.0,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie Miracle in Cell No. 7 (2013)., Miracle in Cell No
189,1948,126,PG,8.2,133.0,98.0,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains., The Treasure of the Sierra Madre
190,1921,68,U,8.2,135.0,81.0,"The Tramp cares for an abandoned child, but events put their relationship in jeopardy.", The Kid
191,1969,127,A,8.2,31.0,86.0,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it., Z
192,2022,140,15,8.2,45.0,81.0,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?, Drishyam 2
193,2017,125,15,8.2,44.0,81.0,"Sergeant Süleyman finds a little girl on a battlefield during the Korean War. He takes her and names her Ayla. Fifteen months later, Süleyman's brigade is told they will be returning to Turkey, and he is reluctant to leave her behind.", Ayla
194,1924,0,U,8.2,58.0,81.0,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.", Sherlock Jr
195,2018,154,15,8.2,99.0,81.0,"In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the Kolar Gold Fields.", K
196,2011,155,PG,8.2,87.0,81.0,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged., Zindagi Na Milegi Dobara
197,2005,112,PG,8.2,93.0,81.0,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980., My Father and My Son
198,1955,125,U,8.2,39.0,81.0,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.", Pather Panchali
199,2019,138,15,8.2,73.0,81.0,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.", Uri: The Surgical Strike
200,2017,167,15,8.2,115.0,81.0,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.", Baahubali 2: The Conclusion
201,2013,186,12A,8.2,73.0,81.0,"The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.", Bhaag Milkha Bhaag
202,1975,142,U,8.2,34.0,81.0,The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter., Dersu Uzala
203,2022,148,15,8.2,103.0,81.0,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.", Kantara
204,2004,210,U,8.2,99.0,81.0,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.," Swades: We, the People"
205,1953,96,PG,8.2,26.0,81.0,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.", Ugetsu
206,1952,89,PG,8.2,28.0,92.0,An elderly man and his dog struggle to survive on his government pension in Rome., Umberto D
207,2000,156,15,8.2,73.0,81.0,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?", Hera Pheri
208,2017,147,12A,8.2,51.0,81.0,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.", Vikram Vedha
209,2018,170,12A,8.2,28.0,81.0,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime., Rangasthalam
210,2012,135,12A,8.2,38.0,81.0,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.", Paan Singh Tomar
211,2015,95,U,8.1,795.0,94.0,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.", Inside Out
212,2015,120,15,8.1,1.1,90.0,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshipper and a drifter named Max.", Mad Max: Fury Road
213,1974,130,X,8.1,352.0,92.0,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.", Chinatown
214,2019,152,12A,8.1,482.0,81.0,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966., Le Mans '66
215,1975,124,PG,8.1,664.0,87.0,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.", Jaws
216,2014,149,18,8.1,1.1,79.0,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.", Gone Girl
